PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,104234145,2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
2,242589718,1201518,C[C@]12CC[C@H](C1(C)C)C[C@H]2O,Unspecified,,,,650,IC50,>,650000,nM,Outside typical range
3,404695914,145979283,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CCN3CCCC3,Unspecified,,,,29,IC50,=,29000,nM,
4,404696043,145979369,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CCN3CCCCC3,Unspecified,,,,121,IC50,=,121000,nM,Outside typical range
5,404697450,145980295,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CCN3CCNCC3,Unspecified,,,,102,IC50,=,102000,nM,Outside typical range
6,404697565,145980373,CC1CCN(CC1)CC(=O)O[C@@H]2C[C@@H]3CC[C@]2(C3(C)C)C,Unspecified,,,,77,IC50,=,77000,nM,
7,404698161,145980753,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CN3CCN(CC3)C,Unspecified,,,,187,IC50,=,187000,nM,Outside typical range
8,404699559,145981663,CCN1CCN(CC1)CCC(=O)O[C@@H]2C[C@@H]3CC[C@]2(C3(C)C)C,Unspecified,,,,106,IC50,=,106000,nM,Outside typical range
9,404700303,145982148,CCCCN(CCCC)CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,Unspecified,,,,20,IC50,=,20000,nM,
10,404700405,145982211,CCCCN(CCCC)CCC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,Unspecified,,,,48,IC50,=,48000,nM,
11,404701158,145982693,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CN3CCNCC3,Unspecified,,,,69,IC50,=,69000,nM,
12,404701165,145982699,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CCN3CCOCC3,Unspecified,,,,257,IC50,=,257000,nM,Outside typical range
13,404702162,1551170,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CN3CCOCC3,Unspecified,,,,267,IC50,=,267000,nM,Outside typical range
14,404704960,145985404,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CCN3CCN(CC3)C,Unspecified,,,,318,IC50,=,318000,nM,Outside typical range
15,404711160,92325485,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CN3CCCCC3,Unspecified,,,,102,IC50,=,102000,nM,Outside typical range
16,404712812,145990523,CC1CCN(CC1)CCC(=O)O[C@@H]2C[C@@H]3CC[C@]2(C3(C)C)C,Unspecified,,,,79,IC50,=,79000,nM,
17,404715839,145992466,CCN1CCN(CC1)CC(=O)O[C@@H]2C[C@@H]3CC[C@]2(C3(C)C)C,Unspecified,,,,447,IC50,=,447000,nM,Outside typical range
18,404716473,145992882,C[C@]12CC[C@H](C1(C)C)C[C@H]2OC(=O)CN3CCCC3,Unspecified,,,,239,IC50,=,239000,nM,Outside typical range
