PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,312356031,162147,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3NCCC4,Unspecified,,,,200,CC50,>,200000,nM
2,404673249,145964144,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC=CS5,Unspecified,,,,200,CC50,>,200000,nM
3,404673278,145964165,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC(=CC(=C5)Cl)Cl,Unspecified,,,,200,CC50,>,200000,nM
4,404673911,145964586,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CCCC5=CC(=CC(=C5)Cl)Cl,Unspecified,,,,25.9,CC50,=,25900,nM
5,404673973,13408688,CN[C@@H]1CC[C@@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl.Cl,Unspecified,,,,22.1,CC50,=,22100,nM
6,404676728,145966425,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)C(=O)C5=CC(=CC(=C5)Cl)Cl,Unspecified,,,,200,CC50,>,200000,nM
7,404676766,145966448,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CC5=C(C=C(C=C5)Cl)Cl,Unspecified,,,,200,CC50,>,200000,nM
8,404677784,145967145,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)C(=O)C5=CC=C(C=C5)Cl,Unspecified,,,,200,CC50,>,200000,nM
9,404684657,145971839,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC=C(C=C5)Cl,Unspecified,,,,200,CC50,>,200000,nM
10,404685465,145972380,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC=CC(=C5)C#N,Unspecified,,,,200,CC50,>,200000,nM
11,404686560,145973105,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CCCC5=CC=C(C=C5)Cl,Unspecified,,,,74.1,CC50,=,74100,nM
12,404687164,145973503,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CC5=CC=C(C=C5)F,Unspecified,,,,200,CC50,>,200000,nM
13,404688168,145974178,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CC5=CC=C(C=C5)OC(F)(F)F,Unspecified,,,,82,CC50,=,82000,nM
14,404689444,145975034,COC1=CC=CC(=C1)CN2CCCC3=C[C@H]4C[C@@H]([C@@H]32)CN5[C@@H]4CCCC5,Unspecified,,,,200,CC50,>,200000,nM
15,404689513,145975079,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CCC5=CC=C(C=C5)Cl,Unspecified,,,,83.3,CC50,=,83300,nM
16,404689697,145975201,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CC5=CC(=CC(=C5)Cl)Cl,Unspecified,,,,83.5,CC50,=,83500,nM
17,404689773,145975253,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CCC5=CC(=CC(=C5)Cl)Cl,Unspecified,,,,56,CC50,=,56000,nM
18,404690419,145975673,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CCCC5=CC(=C(C=C5)Cl)Cl,Unspecified,,,,29.3,CC50,=,29300,nM
19,404691016,11472743,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CC5=CC=CC=C5,Unspecified,,,,168,CC50,=,168000,nM
20,404691955,145976695,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CC5=CC(=C(C=C5)Cl)Cl,Unspecified,,,,200,CC50,>,200000,nM
21,404692987,145977391,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)C(=O)C5=CC(=C(C=C5)Cl)Cl,Unspecified,,,,200,CC50,=,200000,nM
22,404693189,145977519,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CCC5=CC(=C(C=C5)Cl)Cl,Unspecified,,,,51.5,CC50,=,51500,nM
23,404693194,145977524,CC1=CC=CC=C1CN2CCCC3=C[C@H]4C[C@@H]([C@@H]32)CN5[C@@H]4CCCC5,Unspecified,,,,162.3,CC50,=,162300,nM
24,404694419,145978324,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)CC5=CC=C(C=C5)Cl,Unspecified,,,,200,CC50,>,200000,nM
25,404694874,145978625,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3N(CCC4)S(=O)(=O)C5=CC(=C(C=C5)Cl)Cl,Unspecified,,,,200,CC50,>,200000,nM
