reactants,products,reactionString,ruleName,thermo,reactionType
Cl.O=C1CC(=O)C(=CCO)O1,O.O=C1CC(=O)C(=CCCl)O1,Cl.O=C1CC(=O)C(=CCO)O1 >> O.O=C1CC(=O)C(=CCCl)O1,rule0183_6,No_Thermo,Enzymatic
COCC=C1OC(=O)CC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,COC(O)C=C1OC(=O)CC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,COCC=C1OC(=O)CC1=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> COC(O)C=C1OC(=O)CC1=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0004_13,No_Thermo,Enzymatic
O=C(O)CC(=O)C(O)=CCO,O.O=C1CC(=O)C(O)C=C1O,O=C(O)CC(=O)C(O)=CCO >> O.O=C1CC(=O)C(O)C=C1O,rule0245_1,No_Thermo,Enzymatic
CC=C1OC(=O)CC1=O.CC=C1OC(=O)CC1=O,C=C1OC(=O)CC1=O.CC(C)=C1OC(=O)CC1=O,CC=C1OC(=O)CC1=O.CC=C1OC(=O)CC1=O >> C=C1OC(=O)CC1=O.CC(C)=C1OC(=O)CC1=O,rule0126_2,No_Thermo,Enzymatic
O.O=C1CC(=O)C(=CCO)O1,O=C1CC(=O)C(O)(CCO)O1,O.O=C1CC(=O)C(=CCO)O1 >> O=C1CC(=O)C(O)(CCO)O1,rule0020_19,No_Thermo,Enzymatic
O=C1CC(O)C(=C(O)CO)O1,O.O=C1CC(=O)C(=CCO)O1,O=C1CC(O)C(=C(O)CO)O1 >> O.O=C1CC(=O)C(=CCO)O1,rule0071_5,No_Thermo,Enzymatic
C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=C1CC(O)C(=CC(O)O)O1,COC(O)C=C1OC(=O)CC1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=C1CC(O)C(=CC(O)O)O1 >> COC(O)C=C1OC(=O)CC1O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,rule0011_50,No_Thermo,Enzymatic
O=C(O)CC(=O)C(O)=CCO,O=C(CC(O)O)C(O)=C1CO1,O=C(O)CC(=O)C(O)=CCO >> O=C(CC(O)O)C(O)=C1CO1,rule0169_1,No_Thermo,Enzymatic
C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=C1CC(=O)C(=CCO)O1,CC(CO)=C1OC(=O)CC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.O=C1CC(=O)C(=CCO)O1 >> CC(CO)=C1OC(=O)CC1=O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,rule0043_12,No_Thermo,Enzymatic
N.O=C(O)C=C1OC(=O)CC1=O,NC(=O)C=C1OC(=O)CC1=O.O,N.O=C(O)C=C1OC(=O)CC1=O >> NC(=O)C=C1OC(=O)CC1=O.O,rule0055_2,No_Thermo,Enzymatic
O=CC=C1OC(=O)CC1=O,C=C1OC(=O)C(C=O)C1=O,O=CC=C1OC(=O)CC1=O >> C=C1OC(=O)C(C=O)C1=O,rule0028_51,No_Thermo,Enzymatic
O.O=C1CC(=O)C(=CCCl)O1,O=C1CC(O)C(=CC(O)Cl)O1,O.O=C1CC(=O)C(=CCCl)O1 >> O=C1CC(O)C(=CC(O)Cl)O1,rule0070_6,No_Thermo,Enzymatic
