PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,103577347,54693616,CC(C)C[C@H]1C(=C(C(=O)N1CCC(C)CCC=C(C)C)C(=O)C)O,Unspecified,,,,MIC,>,200,ug.mL-1
2,103577349,54693615,CC(C)C[C@H]1C(=C(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3)C(=O)C)O,Unspecified,,,,MIC,>,200,ug.mL-1
3,103577350,54732503,CC(C)C[C@H]1C(=C(C(=O)N1CC2=CCC3CC2C3(C)C)C(=O)C)O,Unspecified,,,,MIC,>,200,ug.mL-1
4,103577390,54693635,CCCCN1[C@H](C(=C(C1=O)C(=O)C)O)CC(C)C,Unspecified,,,,MIC,>,200,ug.mL-1
5,103577392,54693613,CCN1[C@H](C(=C(C1=O)C(=O)C)O)CC2=CC=CC=C2,Unspecified,,,,MIC,>,200,ug.mL-1
6,103577393,54693614,CCCCCCCCCCN1[C@H](C(=C(C1=O)C(=O)C)O)C(C)C,Unspecified,,,,MIC,>,200,ug.mL-1
7,103577431,54693633,CC(C)C[C@H]1C(=C(C(=O)N1CC2=CC=C(C=C2)F)C(=O)C)O,Unspecified,,,,MIC,>,200,ug.mL-1
8,103577433,54693641,CC(C)C[C@H]1C(=C(C(=O)N1CC2=CC(=CC=C2)OC)C(=O)C)O,Unspecified,,,,MIC,>,200,ug.mL-1
9,103577435,54693632,CC(=O)C1=C([C@@H](N(C1=O)CC2=CC=CC=C2)CC3=CC=CC=C3)O,Unspecified,,,,MIC,>,200,ug.mL-1
10,103577468,54693640,CCCCCCCCCCN1[C@H](C(=C(C1=O)C(=O)C)O)CC(C)C,Unspecified,,,,MIC,>,200,ug.mL-1
11,103577471,136153001,CCC(C)[C@H]1C(=O)/C(=C(\C)/O)/C(=O)N1CC2=CC=CC=C2,Unspecified,,,,MIC,>,200,ug.mL-1
12,103577550,54693631,C1=CC=C(C=C1)C[C@@H]2C(=C(C(=O)N2CC3=CC=CC=C3)C#N)O,Unspecified,,,,MIC,>,200,ug.mL-1
13,103577586,54693630,CC(C)C[C@H]1C(=C(C(=O)N1CC2=CC=C(C=C2)F)C#N)O,Unspecified,,,,MIC,>,200,ug.mL-1
14,103577587,54693638,CC(C)C[C@@H]1C(=C(C(=O)N1CC2=CC=C(C=C2)F)C#N)O,Unspecified,,,,MIC,>,200,ug.mL-1
15,103577708,54693637,CC(C)C[C@H]1C(=C(C(=O)N1CC2=CC(=CC=C2)OC)C#N)O,Unspecified,,,,MIC,>,200,ug.mL-1
16,103577794,54732505,C1=CC=C(C=C1)C[C@H]2C(=C(C(=O)N2CC3=CC=CC=C3)C#N)O,Unspecified,,,,MIC,>,200,ug.mL-1
17,103577821,54693642,CC(C)C[C@@H]1C(=C(C(=O)N1CC2=CC=C(C=C2)F)C(=O)C)O,Unspecified,,,,MIC,>,200,ug.mL-1
18,103577822,54693634,CC(=O)C1=C([C@H](N(C1=O)CC2=CC=CC=C2)CC3=CC=CC=C3)O,Unspecified,,,,MIC,>,200,ug.mL-1
19,103577823,54693617,CCCCCCCCCCN1[C@@H](C(=C(C1=O)C(=O)C)O)CC(C)C,Unspecified,,,,MIC,>,200,ug.mL-1
20,103577831,54693629,CCCCCCCCCCN1[C@H](C(=C(C1=O)C#N)O)CC(C)C,Unspecified,,,,MIC,>,200,ug.mL-1
21,103577873,54732506,CCC(C)[C@H]1C(=C(C(=O)N1CC2=CC=CC=C2)C#N)O,Unspecified,,,,MIC,>,200,ug.mL-1
22,103577936,54693628,CCCCCCCCCCN1[C@H](C(=C(C1=O)C(=O)C)O)CC2=CC=CC=C2,Unspecified,,,,MIC,>,200,ug.mL-1
