PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103164817,5578,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,Unspecified,,,,120,IC50,=,120000,nM,Outside typical range
2,103508770,16110323,COC1=CC(=CC(=C1OC)OC)CC#CC2=CN=C(N=C2N)N,Active,,,,1.46,IC50,=,1460,nM,
3,103508777,16110337,CC1=C(C(=NC(=N1)N)N)C#CCC2=CC(=C(C(=C2)OC)OC)OC,Active,,,,0.4,IC50,=,400,nM,
4,103508778,16110338,CC(C#CC1=CN=C(N=C1N)N)C2=CC(=C(C(=C2)OC)OC)OC,Active,,,,1.46,IC50,=,1460,nM,
5,103508787,16110326,CC1=C(C(=NC(=N1)N)N)C#CC(C)C2=CC(=C(C(=C2)OC)OC)OC,Active,,,,1.38,IC50,=,1380,nM,
6,103508801,16110339,COC1=CC(=CC(=C1OC)OC)C(C#CC2=CN=C(N=C2N)N)O,Unspecified,,,,14.3,IC50,=,14300,nM,
7,103508802,16110328,CC1=C(C(=NC(=N1)N)N)C#CC(C2=CC(=C(C(=C2)OC)OC)OC)O,Active,,,,5.71,IC50,=,5710,nM,
8,103508819,16110329,COC1=CC(=CC(=C1OC)OC)C(C#CC2=CN=C(N=C2N)N)OC,Active,,,,1.16,IC50,=,1160,nM,
9,103508820,16110341,CC1=C(C(=NC(=N1)N)N)C#CC(C2=CC(=C(C(=C2)OC)OC)OC)OC,Active,,,,1.22,IC50,=,1220,nM,
10,103648035,25138222,COC1=CC(=C(C=C1)OC)CC#CC2=CN=C(N=C2N)N,Active,,,,3.2,IC50,=,3200,nM,
11,103648036,25138223,CC1=C(C(=NC(=N1)N)N)C#CCC2=C(C=CC(=C2)OC)OC,Active,,,,1.3,IC50,=,1300,nM,
12,103648037,25058133,CCC1=C(C(=NC(=N1)N)N)C#CCC2=C(C=CC(=C2)OC)OC,Active,,,,1.28,IC50,=,1280,nM,
13,103648038,25138224,CCCC1=C(C(=NC(=N1)N)N)C#CCC2=C(C=CC(=C2)OC)OC,Active,,,,1.18,IC50,=,1180,nM,
14,103648039,25138225,CCC1=C(C(=NC(=N1)N)N)C#CCC2=CC(=C(C(=C2)OC)OC)OC,Active,,,,0.057,IC50,=,57,nM,
15,103648096,25138226,CCC1=C(C(=NC(=N1)N)N)C#CCC2=C(C(=CC=C2)OC)OC,Active,,,,0.13,IC50,=,130,nM,
16,103648097,25138227,CCC1=C(C(=NC(=N1)N)N)C#CCC2=CC=CC=C2,Active,,,,0.36,IC50,=,360,nM,
