starter_Canonical_SMILES,Canonical_SMILES,generationSteps,DerivativeSimScore,NonDerivativeSimScore
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,COC[C@H]1O[C@@H](n2c[n+](C)c3c(=O)[nH]c(N)nc32)[C@H](OS(=O)(=O)O)[C@@H]1O,3,0.3784,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CO[C@H]1[C@@H](O)[C@H](n2c[n+](C)c3c(=O)[nH]c(N)nc32)O[C@@H]1COS(=O)(=O)O,3,0.3973,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CO[C@@H]1[C@H](O)[C@@H](COS(=O)(=O)O)O[C@H]1n1c[n+](C)c2c(=O)[nH]c(N)nc21,3,0.3784,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CO[C@@H]1[C@H](OS(=O)(=O)O)[C@@H](CO)O[C@H]1n1c[n+](C)c2c(=O)[nH]c(N)nc21,3,0.4028,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,COC[C@H]1O[C@@H](n2c[n+](C)c3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1OS(=O)(=O)O,3,0.3973,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CO[C@H]1[C@@H](OS(=O)(=O)O)[C@H](n2c[n+](C)c3c(=O)[nH]c(N)nc32)O[C@@H]1CO,3,0.4028,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CO[C@H]1[C@@H](O)[C@H](n2c[n+](C)c3c(=O)[nH]c(N)nc32)O[C@@H]1COP(=O)(O)O,3,0.3973,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CO[C@H]1[C@@H](OP(=O)(O)O)[C@H](n2c[n+](C)c3c(=O)[nH]c(N)nc32)O[C@@H]1CO,3,0.4028,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CO[C@@H]1[C@H](O)[C@@H](COP(=O)(O)O)O[C@H]1n1c[n+](C)c2c(=O)[nH]c(N)nc21,3,0.3784,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,COC[C@H]1O[C@@H](n2c[n+](C)c3c(=O)[nH]c(N)nc32)[C@H](OP(=O)(O)O)[C@@H]1O,3,0.3784,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,COC[C@H]1O[C@@H](n2c[n+](C)c3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1OP(=O)(O)O,3,0.3973,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CO[C@@H]1[C@H](OP(=O)(O)O)[C@@H](CO)O[C@H]1n1c[n+](C)c2c(=O)[nH]c(N)nc21,3,0.4028,
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1COP(=O)(O)O,3,0.5938,
