Canonical_SMILES,starter_mod,firstExtension_module,secondExtension_mod,release_mod,Molecular_Weight,has_OH_at_C5,hydroxyl_positions
CO[C@H]1C(=O)OC(=O)[C@@H]2CCC[C@H]2C=C(O)C1=O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'C1'}"", 'loading: False']","TE(cyclic, ring=1)",254.24,True,"[4, 5]"
C=CC[C@H]1C(=O)OC(=O)[C@@H]2CCC[C@H]2C=C(O)C1=O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'C1'}"", 'loading: False']","TE(cyclic, ring=0)",264.28,True,"[4, 5]"
C=CCC1=CC(O)=C[C@@H]2CCC[C@H]2C(=O)OC1=O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']","TE(cyclic, ring=0)",248.28,True,"[4, 5]"
O=C1OC(=O)[C@@H]2CCC[C@H]2C=C(O)C=C1CCCCc1c[nH]c(Cl)c1Cl,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'B1'}"", 'DH{}', 'loading: False']","TE(cyclic, ring=0)",398.29,True,"[4, 5]"
O=C(O)[C@@H]1CCC[C@H]1C=C(O)[C@H]1OC(=O)[C@@H]1CCCCc1c[nH]c(Cl)c1Cl,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=0)",416.3,True,"[1, 4, 5, 8]"
CCCC[C@@H]1C(=O)O[C@@H]1C(O)=C[C@@H]1CCC[C@H]1C(=O)O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'B2'}"", 'loading: False']","TE(cyclic, ring=0)",282.34,True,"[1, 4, 5, 8]"
CO[C@H]1C(=O)O[C@@H]1C(O)=C[C@@H]1CCC[C@H]1C(=O)O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'mxmal'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=1)",256.25,True,"[1, 4, 5, 8]"
O=C1O[C@H]1CC(O)=C[C@@H]1CCC[C@H]1C(=O)O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']","TE(cyclic, ring=0)",226.23,True,"[1, 4, 5, 8]"
CCCC[C@H]1C(=O)OC(=O)[C@@H]2CCC[C@H]2C=C(O)C1=O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'C1'}"", 'loading: False']","TE(cyclic, ring=0)",280.32,True,"[4, 5]"
CC(C)[C@H]1CC(O)=C[C@@H]2CCC[C@H]2C(=O)OC1=O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'D-isobutmal'}"", ""KR{'type': 'B1'}"", 'DH{}', 'ER{}', 'loading: False']","TE(cyclic, ring=0)",252.31,True,"[4, 5]"
CCCCCC[C@H]1C(=O)OC(=O)[C@@H]2CCC[C@H]2C=C(O)C1=O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hexmal'}"", ""KR{'type': 'C1'}"", 'loading: False']","TE(cyclic, ring=0)",308.37,True,"[4, 5]"
C[C@H]1C(=O)O[C@H]1C(O)=C[C@@H]1CCC[C@H]1C(=O)O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'Methylmalonyl-CoA'}"", ""KR{'type': 'A1'}"", 'loading: False']","TE(cyclic, ring=0)",240.25,True,"[1, 4, 5, 8]"
C=CC[C@@H]1C(=O)OC(=O)[C@@H]2CCC[C@H]2C=C(O)C1=O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'allylmal'}"", ""KR{'type': 'C2'}"", 'loading: False']","TE(cyclic, ring=0)",264.28,True,"[4, 5]"
O=C1O[C@H]1[C@@H](O)C(O)=C[C@@H]1CCC[C@H]1C(=O)O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'hmal'}"", ""KR{'type': 'A2'}"", 'loading: False']","TE(cyclic, ring=0)",242.23,True,"[1, 3, 4, 5, 6, 8]"
CCCC[C@H]1C(=O)O[C@@H]1C(O)=C[C@@H]1CCC[C@H]1C(=O)O,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'butmal'}"", ""KR{'type': 'B1'}"", 'loading: False']","TE(cyclic, ring=0)",282.34,True,"[1, 4, 5, 8]"
O=C1OC(=O)[C@@H]2CCC[C@H]2C=C(O)C(=O)[C@@H]1CCCCc1c[nH]c(Cl)c1Cl,"[""AT{'substrate': 'trans-1,2-CPDA'}"", 'loading: True']",AT(hmal) + KR(B1) + DH,"[""AT{'substrate': 'DCP'}"", ""KR{'type': 'C2'}"", 'loading: False']","TE(cyclic, ring=0)",414.29,True,"[4, 5]"
