,smiles,ATC_code,Drug_Type,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile
0,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,J01GB;J01RA,antibiotic,585.6080000000002,-8.424200000000015,17,13,1.0,0.11306379404457517,16,331.93999999999994,0.09333451315760613,0.10631728395819665,0.07818280830979348,0.0002651070687079482,0.007573994062840939,0.0028858534642495215,0.0012724335261736996,0.016743256757035852,0.01329012205824256,0.26403134763240815,0.0020394133010995575,0.0016328039215295575,0.04856244409456849,0.04243929479271173,0.005247248406521976,0.11808092147111893,0.2216796800494194,0.0007232431496959179,0.006236535310745239,0.16255969405174256,0.48884537220001223,0.00024856885174813216,0.03844118248671293,0.009500754391774535,0.07061180262826383,0.02297702041687444,0.0009611529287212762,0.006071233336115256,0.032876514550298455,0.15468828082084657,0.25644302517175677,-7.6208771959704125,36.15209127887769,2.2456706210635176,7.526744870336216,-20.117336901977165,1.5959684307139885,-1.8077167051190357,23.987537183111517,-0.10210398611020235,-6.522413216003575,88.36758433501358,2.365257851880574,96.99495928654517,97.44086855370298,2.908103916246607,6.359053896859248,98.33268708801862,96.12252811167119,31.98914307871268,6.5141527723924,1.1632415664986429,4.963164017060876,13.493602171384257,0.6203955021326095,10.275300504071346,11.244668476153548,29.236138037999226,29.623885226832105,21.59751841799147,0.38774718883288095,35.47886777820861,10.856921287320667,1.7836370686312524,91.5083365645599,92.63280341217526,7.018224117875145,33.07483520744474,92.32260566110895,94.49398991857309,13.881349360217138,7.250872431174874,22.256688639007365,36.56455990694067,69.94959286545172,9.848778596355176,28.46064366033346,57.85188057386584,14.307871267933308,47.61535478867778,0.6203955021326095,50.21326095385808,31.13609926328034,50.756107018224114,2.1326095385808452,8.103916246607213,6.397828615742536,7.095773555641721,91.77975959674292,4.8856145792943
1,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,J01CA;J01CR,antibiotic,365.4110000000001,0.023700000000000443,6,4,4.0,0.5530315284690744,4,132.96,0.051736950129270556,0.03739912398159504,0.6891589045524598,0.0010778394993394614,0.006863072433043271,0.12005642354488373,0.001874506262538489,0.029527953546494245,0.0058392947015818205,0.34113751649856566,0.002913360157981515,0.12822277322411538,0.03473180057480931,0.3887822687625885,0.29820772260427475,0.013120315875858069,0.04809274040162563,0.01567058500368148,0.0014073492609895765,0.02915895190089941,0.13693276196718215,0.001945708371931687,0.024072505440562962,0.001602148966048844,0.03837846238166094,0.0014149206923320889,0.004304927564226091,0.0004026612514280714,0.003528678463771939,0.41574724912643435,0.010342625179328024,-6.484996829669536,8.870990407320567,8.964288470665194,-0.6491054602541887,-13.895777544212683,1.9840359959163707,-0.9223865082081574,59.371960763924655,-1.9559691552537104,0.4029722849269116,57.153935633966654,23.768902675455603,69.5036835982939,86.02171384257464,63.80379992245056,54.866227219852654,80.1085692128732,81.23303606048856,20.240403257076387,1.4734393175649476,35.01357115160915,11.748739821636292,12.601783637068632,41.837921675067854,13.299728576967816,22.062815044590927,19.038386971694454,35.98293912369135,23.924001550988756,44.668476153547886,29.236138037999226,47.03373400542846,12.873206669251648,55.83559519193486,71.9658782473827,42.884839084916635,18.030244280728965,64.21093447072508,67.46801085692128,34.664598681659555,4.730515703761148,6.436603334625824,25.785188057386584,28.11167119038387,28.07289647150058,7.405971306708026,24.156649864288482,49.32144241954246,8.491663435440092,5.777433113609926,21.94649088794106,39.27879022877084,35.789065529274914,14.618069018999613,19.271035284994184,13.60992632803412,31.17487398216363,70.10469174098488,40.24815820085304
2,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,J01CA;J01CR,antibiotic,349.4120000000001,0.3181000000000002,5,3,4.0,0.674878289478739,4,112.73,0.027743328455835582,0.06467838101089,0.8108286738395691,0.0004956656834110617,0.006434937752783298,0.11430708058178425,0.0009566917098709383,0.017028333432972432,0.004151931655360386,0.2353753998875618,0.0030121378251351414,0.18773473426699638,0.03203049302101135,0.5608292400836945,0.4333216220140457,0.009047291381284595,0.06958034634590149,0.01308576539158821,0.0012315340340137483,0.010014108614996076,0.08561327531933785,0.0022980909096077086,0.056812326237559316,0.002295645046979189,0.048423385433852675,0.0009304158098530025,0.0033923774608410895,0.00022256754018599168,0.0018309877603314817,0.4174985885620117,0.0053140208125114444,-6.0786607055418,1.282424019794341,14.379157513655139,-3.7427904610523135,-13.761451260403481,2.172005783470067,-1.255295792862947,55.543070750095,-2.0504281432948295,0.8491131192330265,53.41217526172935,26.483132997285768,59.1120589375727,77.25862737495153,63.80379992245056,70.84141139976735,80.1085692128732,74.35052345870493,11.089569600620395,3.722373012795657,52.65606824350523,7.638619620007755,11.865063978286157,40.51958123303606,8.724311748739822,11.671190383869718,15.936409461031406,27.142303218301667,24.156649864288482,56.45599069406747,27.530050407134546,57.19271035284994,15.66498642884839,45.05622334238077,81.11671190383869,39.27879022877084,16.983326870880184,36.09926328034122,48.46839860411012,37.18495540907328,9.577355564172159,8.724311748739822,29.778984102365257,22.683210546723537,23.885226832105467,4.8856145792943,17.564947654129508,49.554090732842184,5.001938735944164,10.663047692904225,15.820085304381543,45.67661884451338,29.817758821248546,15.122140364482357,28.576967816983327,10.58549825513765,27.374951531601397,68.63125242341992,43.54400930593253
3,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,J01FA;J01RA,antibiotic,748.9960000000001,1.9007000000000054,14,5,2.0,0.23847544119122632,18,180.08,0.1792858675122261,0.02453413363546133,0.773069703578949,7.581045904316852e-05,0.0012693335418589413,0.004563223966397345,0.0007105830096406862,0.010959667759016157,0.0031727472567581573,0.5385916054248809,0.1912211410701275,0.01032434031367302,0.2058464080095291,0.17061613202095033,0.5938020706176758,0.013456310145556927,0.04212179221212864,0.0019106604187982157,0.029047730006277563,0.02105769980698824,0.11174093708395957,0.0013942335644969717,0.59351806640625,0.6170064330101013,0.03335157921537757,0.005911778489826247,0.004801888077054173,0.04458271823823452,0.037300036288797855,0.3976496856659651,0.4647217333316803,-5.893763591650457,56.75669755351032,25.55088523601549,38.513410648827765,-11.887314535247606,2.30941816158694,0.3439345947248532,45.294430162848826,-2.2115593285215,-0.44381893063430394,93.02055060100814,44.241954245831714,94.59092671578131,90.75222954633578,9.848778596355176,15.27723924001551,98.75920899573478,88.98797983714618,48.73982163629314,0.6591702210158976,46.29701434664599,1.8611865063978286,2.6754556029468786,1.6285381930981,7.212097712291586,5.273361768127181,13.60992632803412,55.02132609538581,65.10275300504071,4.032570763861962,67.23536254362156,30.244280728964714,19.077161690577743,56.494765412950755,68.98022489336952,14.773167894532765,52.462194649088794,54.59480418766964,60.64366033346258,29.54633578906553,39.12369135323769,80.53509112058937,23.342380767739435,48.158200853043816,29.89530825901512,52.57851880573865,60.44978673904614,47.34393175649476,61.61302830554478,14.075222954633578,68.12718107793718,57.735556417215975,81.50445909267158,28.6545172547499,36.370686312524235,31.95036835982939,18.573090345094997,66.03334625823963,32.80341217526173
4,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,J01CA;J01CR,antibiotic,461.50000000000017,0.0942000000000009,6,4,4.0,0.4544455498336079,4,148.14999999999998,0.008424735930748283,0.1377476379275322,0.49856176376342776,0.00020943784329574555,0.003407721931580454,0.14758627191185952,0.00110492616367992,0.014598451275378465,0.0028103255201131104,0.16801722049713136,0.0033719993894919752,0.06763201840221882,0.02347833327949047,0.8373795747756958,0.048213782534003255,0.005500517832115292,0.12621968891471624,0.0013592661533039063,0.0006064971908926964,0.006203248293604702,0.09620788246393204,0.001933636935427785,0.029584870534017683,0.006095253769308329,0.07647346183657647,0.0004230434948112816,0.0025916198501363397,0.0001197646837681532,0.002254597144201398,0.23864321112632753,0.008116985252127052,-6.299402732208448,3.4941907818083955,44.28496756695832,1.0658969774188782,-13.17595210757101,2.1656578152736983,-0.8548499124392717,78.94099735168098,-2.9689393213519724,2.2010748712787254,77.2004652966266,24.66072120977123,69.5036835982939,86.02171384257464,63.80379992245056,41.25630089181853,80.1085692128732,84.3737882900349,2.908103916246607,8.879410624272975,19.271035284994184,4.226444358278402,6.7080263668088405,50.05816207832493,9.305932531989143,8.646762310973244,12.795657231485071,19.775106630476927,24.89336952307096,26.909654905001936,21.59751841799147,75.02908103916246,5.157037611477317,33.77278014734393,88.9104303993796,11.438542070569987,11.748739821636292,25.552539744086854,53.81930981000387,34.47072508724312,5.816207832493214,17.564947654129508,38.309422256688634,15.27723924001551,20.08530438154323,3.1407522295463357,19.813881349360216,26.793330748352073,7.289647150058162,7.599844901124467,17.52617293524622,74.05971306708027,39.00736719658782,18.96083753392788,28.227995347033733,14.385420705699882,55.292749127568825,51.337727801473434,55.409073284218685
5,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-],J01DF,antibiotic,435.44000000000017,-2.2238999999999978,10,3,4.0,0.18304160511734932,2,206.02999999999997,0.03384062675759196,0.025506212282925843,0.1709785282611847,0.0003265952575020492,0.0019357167424459477,0.09992390349507332,0.0003964648065448273,0.00689471960067749,0.003862173340166919,0.10720842108130454,0.0007140714966226369,0.1833162248134613,0.000763615501273307,0.9100994229316711,0.005863583006430417,0.004614843940362334,0.028937931917607785,0.0012089496944099666,0.0005633853157632984,0.007616455759853124,0.19212674647569655,0.0001653649887884967,0.02124784793704748,0.01582200767006725,0.07081434950232506,0.0003171089039824437,0.0015032016905024647,0.0003437187217059545,0.0012196823139674962,0.4242564678192139,0.007035391638055444,-6.166231926185807,-10.878717608825175,0.653250822486163,-1.3720358776476544,-15.327835562421516,2.3730014442213254,-3.3700035923616367,59.166132904013736,-1.1836601046991486,5.6572604969694975,72.89647150058161,10.158976347421481,88.9104303993796,77.25862737495153,63.80379992245056,11.322217913920124,68.86390073671966,92.28383094222566,13.687475765800698,0.7754943776657619,2.9468786351298952,5.9325319891430786,4.148894920511826,35.59519193485847,5.001938735944164,2.016285381930981,15.122140364482357,11.477316789453276,15.858860023264832,55.71927103528499,2.9468786351298952,82.55137650252036,1.9387359441644048,30.205506010081425,57.46413338503296,10.740597130670803,11.3997673516867,29.3136874757658,78.86777820860799,11.283443195036835,3.9550213260953857,29.3136874757658,36.60333462582396,13.144629701434663,13.997673516867003,6.669251647925552,13.997673516867003,50.52345870492439,6.203955021326095,9.732454439705311,9.461031407522295,29.70143466459868,34.044203179526946,8.646762310973244,40.20938348196975,0.7367196587824738,30.981000387747187,80.49631640170608,78.48003101977511
6,CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,J01CA;J01CR,antibiotic,465.5280000000002,1.2958000000000012,9,2,4.0,0.34657906123991666,5,137.26000000000002,0.0764022383838892,0.09456324428319932,0.4818925499916077,0.01302902358584106,0.1369830733165145,0.06790119959041477,0.033107928931713104,0.06364244371652603,0.11483694538474083,0.5034316778182983,0.7401342213153839,0.10876708850264549,0.04566149227321148,0.6697115540504456,0.766398686170578,0.024724733270704746,0.04507997054606676,0.024576814938336612,0.012743581645190715,0.03336666151881218,0.06301590465009213,0.003066738648340106,0.580503112077713,0.14199383109807967,0.10707435458898544,0.004422416829038411,0.010821529710665346,0.008225071802735328,0.018487292155623437,0.27966164946556094,0.2500729769468307,-5.541917087848016,100.95898495003539,117.15127770350087,-23.18553305872845,-9.495805921846088,2.714478226374351,2.0471640674288976,75.65484223117133,-2.922240125477777,5.5213954913739745,77.70453664210935,35.94416440480806,86.25436215587436,60.85692128732067,63.80379992245056,27.025979061651803,83.96665374176037,82.00853043815432,27.49127568825126,5.8937572702597905,18.534315626211708,36.29313687475766,54.866227219852654,24.66072120977123,48.158200853043816,38.54207056998837,64.44358278402481,51.57037611477317,89.06552927491275,40.32570763861962,34.082977898410235,63.28034121752617,22.024040325707638,71.9658782473827,70.33734005428461,50.44590926715781,41.101202016285384,67.46801085692128,34.89724699495929,41.95424583171772,38.1155486622722,56.22334238076774,46.68476153547887,43.85420705699884,45.09499806126406,31.678945327646375,47.61535478867778,32.72586273749515,47.03373400542846,21.98526560682435,90.50019387359441,97.86739046141915,6.5141527723924,51.647925552539746,62.65994571539356,60.99263280341217,50.29081039162466,52.30709577355564,77.66576192322606
7,CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1,J01XX,antibiotic,1422.7199999999998,-1.6776000000000149,19,17,1.0,0.04009446299855542,15,530.8699999999999,0.1854020543396473,0.06675080470740795,0.6133976340293884,0.002775822565308772,0.038700140081346035,0.09617938473820686,0.02204222846776247,0.04702194556593895,0.05209222061093897,0.5701200902462006,0.4036800801753998,0.04619138091802597,0.19192119985818862,0.5670309722423553,0.09441218376159669,0.010649828892201185,0.028726722672581674,0.00642322301864624,0.0061122942715883255,0.10719463750720024,0.14509699791669844,0.037981779873371126,0.04598156064748764,0.11116895228624343,0.1793135181069374,0.042491397447884084,0.018277346901595593,0.004541358177084476,0.068456344678998,0.2346760720014572,0.1386110194027424,-7.1515251355370335,-1.0364823386671858,32.857390522618644,-31.83475108577702,-15.711244209192799,2.445330582060442,-0.4734931219104011,60.82274176910105,-2.7182101610120233,-2.534473221032332,98.37146180690189,11.632415664986429,97.92555253974409,98.58472276075999,2.908103916246607,2.6754556029468786,97.94493989918573,98.6816595579682,49.59286545172547,3.9550213260953857,27.025979061651803,19.658782473827063,34.082977898410235,34.39317564947654,42.49709189608375,32.221791392012406,51.221403644823575,57.50290810391625,76.5412950756107,18.8832880961613,65.33540131834044,57.42535866614967,7.32842186894145,49.78673904614192,56.9988367584335,28.88716556804963,32.80341217526173,88.63900736719658,69.52307095773556,80.18611865063978,8.065141527723924,53.005040713454825,58.278402481582006,78.28615742535867,55.71927103528499,25.358666149670412,69.91081814656843,26.134160527336178,35.246219464908876,2.1326095385808452,14.346645986816595,64.1721597518418,2.9468786351298952,7.5222954633578905,44.47460255913145,19.50368359829391,32.260566110895695,56.41721597518418,18.650639782861575
8,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,J01CE;J01CR,antibiotic,334.39700000000005,0.8607999999999998,4,2,4.0,0.7977632704521286,3,86.71000000000001,0.021535523515194655,0.06664197929203511,0.6994912385940552,0.00021339769955375232,0.007567233522422612,0.16181229650974274,0.0008144196741341148,0.0123370919842273,0.0017407758234185167,0.25529698431491854,0.0006103997933678329,0.17866581827402114,0.014791487669572233,0.6345444321632385,0.21883355528116227,0.007334470609202981,0.05235556811094284,0.003183903585886583,0.0005958651425316929,0.0075928459293209015,0.09505441561341285,0.007255155697930604,0.07308766562491656,0.0030470312340185046,0.10144589468836784,0.0007247336325235665,0.005475797131657601,0.00016530269058421255,0.0017217947926837951,0.6475669980049134,0.002250543184345588,-5.812550736539241,0.21159616513987345,23.346971793975335,-11.426433278428354,-12.823211740082831,1.9772408752872201,-1.2880683002969282,70.39401843841421,-2.3361916874043716,-1.7712830823869545,50.21326095385808,31.291198138813492,46.47150058162078,60.85692128732067,63.80379992245056,88.67778208607987,75.43621558743699,58.58860023264831,8.530438154323381,3.9162466072120976,36.370686312524235,4.303993796044979,13.454827452500968,53.431562621171,8.026366808840635,6.397828615742536,9.654905001938737,28.809616130283054,15.432338115548662,54.788677782086076,15.27723924001551,61.26405583559519,11.244668476153548,40.51958123303606,74.48623497479643,19.620007754943778,11.632415664986429,29.197363319115937,53.12136487010469,56.14579294300116,11.554866227219852,11.089569600620395,44.280728964715,19.930205506010083,32.18301667312912,3.7611477316789452,17.022101589763473,71.15160915083365,2.1713842574641333,15.471112834431949,15.199689802248933,56.18456766188445,17.215975184179914,21.713842574641333,18.96083753392788,10.469174098487786,44.241954245831714,63.55176424970919,23.070957735556416
9,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,J01CA;J01CR,antibiotic,378.4060000000001,0.4864999999999999,5,3,4.0,0.5029511300621745,4,124.01,0.01097331098280847,0.06838406547904015,0.6550833821296692,0.0001592494299984537,0.0044766447390429676,0.13697119653224946,0.0008578034379752353,0.005550143588334322,0.0023098067147657277,0.16981933116912842,0.000347761475131847,0.17675707004964353,0.022001660242676736,0.8210998415946961,0.03566496837884188,0.007219044910743833,0.06104545388370752,0.0019985123886726796,0.0005390613223426044,0.00678690715576522,0.08391456827521324,0.0017984020058065652,0.024010519217699765,0.004631722369231284,0.06661275140941143,0.0005164899746887385,0.002862846257630736,0.00017754047876223923,0.0015367478597909212,0.45392160415649413,0.0021774741588160397,-6.211862026738396,-9.6241547486022,20.662131435649748,-4.428249262232894,-13.169746896499243,2.0343232593239575,-1.7000328134831164,65.47908427455585,-2.476085640642979,-0.5481107386858386,60.139588987979835,27.87902287708414,59.1120589375727,77.25862737495153,63.80379992245056,47.46025591314463,80.1085692128732,79.35246219464909,3.8386971694455214,4.07134548274525,30.593253198914308,3.683598293912369,8.840635905389686,47.30515703761148,8.1426909654905,1.2795657231485071,11.632415664986429,19.968980224893368,13.183404420317952,54.168282279953466,20.317952694842962,73.24544397053121,4.420317952694843,40.0542846064366,78.13105854982551,15.199689802248933,11.089569600620395,27.181077937184956,47.61535478867778,33.423807677394336,4.730515703761148,14.85071733229934,35.5176424970919,16.67312911981388,21.248545948041876,4.032570763861962,16.013958898797984,53.16013958898798,2.093834819697557,9.112058937572701,9.887553315238463,53.54788677782086,28.421868941450175,19.038386971694454,21.248545948041876,6.940674680108569,37.84412563008918,61.186506397828616,32.14424195424583
10,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2[C@H]1C(=O)O,J01CA;J01CR,antibiotic,494.5690000000003,2.4962,6,2,4.0,0.2745808078608742,4,113.01,0.020362216606736185,0.04732246939092875,0.7326786398887635,0.00915778623893857,0.22173156663775445,0.18127672821283342,0.0870583051815629,0.011271152831614017,0.04644185788929463,0.4403505951166153,0.13808999061584473,0.21749335676431655,0.01748123150318861,0.942450225353241,0.4366751819849014,0.010728484392166138,0.06661292091012001,0.010472510894760489,0.010674661304801703,0.03132829559035599,0.13657593578100205,0.060142818838357925,0.24895790219306946,0.24558897763490678,0.3650948107242584,0.00914988098666072,0.027173751313239337,0.018417707085609435,0.01060098260641098,0.2903897315263748,0.03851575162261724,-6.108379743319345,7.974079375860524,70.82630975268543,4.243339095105928,-10.02888653322513,2.466679469602532,0.6056159566594057,87.39643320326245,-3.49305117469297,2.948990899956725,81.19426134160527,53.12136487010469,69.5036835982939,60.85692128732067,63.80379992245056,18.456766188445133,80.1085692128732,74.81582008530438,8.1426909654905,2.365257851880574,41.101202016285384,32.64831329972858,66.1108956960062,58.317177200465295,63.164017060876304,5.816207832493214,48.97246994959286,45.948041876696394,59.86816595579682,61.225281116711905,17.332299340829778,87.6308646762311,15.66498642884839,50.019387359441644,80.18611865063978,35.94416440480806,38.774718883288095,65.64559906940674,67.3904614191547,86.15742535866615,23.303606048856146,63.86196200077549,75.72702597906165,54.168282279953466,63.31911593640946,40.635905389685924,38.774718883288095,34.23807677394339,18.92206281504459,10.35284994183792,21.36487010469174,87.47576580069794,44.90112446684761,45.909267157813105,45.48274525009693,36.13803799922451,68.47615354788678,41.25630089181853,60.682435052345866
11,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,J01DC,antibiotic,367.814,0.6213000000000004,5,3,4.0,0.6723811937753879,3,112.73,0.13655350813642145,0.08370251581072807,0.861607575416565,0.008739037951454521,0.020598949142731728,0.1723707690834999,0.0040115826879628,0.020495572686195375,0.012498454362503252,0.14396718740463257,0.007267781451810151,0.31380832344293597,0.10217394530773163,0.8340057969093323,0.5833125472068786,0.012533687800168992,0.048085276409983634,0.026162081211805344,0.00438764737918973,0.018476355506572874,0.08521607741713524,0.011021346598863602,0.052747090440243484,0.004024871229194105,0.12397583350539207,0.00741073009558022,0.007338979421183467,0.0008635948557639495,0.006445837067440152,0.6729436695575715,0.013708619493991136,-6.081997906421201,1.057309609663767,3.613508591562796,-8.775175166755073,-13.651489492819326,2.0923829570793346,-1.383505833758996,62.36201569099393,-2.098364676931091,1.068473531661857,57.696781698332686,29.08103916246607,59.1120589375727,77.25862737495153,63.80379992245056,70.49243892981775,75.43621558743699,74.35052345870493,41.33385032958511,5.118262892594029,62.77626987204343,32.14424195424583,25.358666149670412,55.951919348584724,20.317952694842962,14.501744862349748,28.189220628150444,16.51803024428073,30.089181853431562,73.82706475378053,51.41527723924001,74.9127568825126,18.689414501744864,54.47848003101977,71.92710352849942,51.337727801473434,29.585110507948816,51.06630476929042,48.23575029081039,62.31097324544397,9.034509499806127,13.416052733617681,49.74796432725863,51.10507948817371,38.193098100038775,12.214036448235749,31.562621170996508,73.16789453276463,10.895696006203956,10.58549825513765,15.66498642884839,32.842186894145016,21.093447072508724,15.66498642884839,24.389298177588213,9.538580845288871,33.69523070957735,67.54556029468786,45.63784412563009
12,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,J01DB,antibiotic,363.3950000000001,0.15050000000000108,6,4,4.0,0.5597037383059922,3,132.96,0.06054846756160259,0.040606971457600595,0.7484111905097961,0.004682743258308619,0.012188148847781122,0.19958519339561462,0.004930708912434056,0.03347677513957024,0.00875466907164082,0.21140902489423752,0.005236903950572014,0.17273424565792084,0.06599347516894341,0.6371005833148956,0.4256814420223236,0.013502275850623847,0.0369379498064518,0.02172015905380249,0.001557511929422617,0.024569093948230147,0.12123789638280869,0.0022716779028996827,0.018456481816247105,0.0025820749171543865,0.0375016238540411,0.0022235293406993152,0.005428798554930836,0.0008026364987017587,0.003160182782448828,0.5118299424648285,0.01765011597890407,-6.444810136987859,10.704776627212652,-2.2069445288698524,-4.5548323317443575,-14.535022668135648,1.8585017256162044,-1.3401066691859214,60.278712016226166,-1.98112235474592,0.6551542940311156,56.88251260178364,25.048468398604108,69.5036835982939,86.02171384257464,63.80379992245056,55.60294687863513,75.43621558743699,81.23303606048856,22.76075998449011,1.7448623497479643,42.76851492826677,24.970918960837533,18.689414501744864,62.15587436991082,22.528111671190384,24.62194649088794,23.226056611089568,25.009693679720822,27.762698720434276,53.509112058937575,42.14811942613416,61.380379992245054,15.316013958898797,56.57231485071733,64.94765412950755,48.46839860411012,18.844513377278012,59.24777045366421,63.629313687475765,36.991081814656845,3.334625823962776,9.538580845288871,25.319891430787127,33.8891043039938,31.98914307871268,11.981388134936022,23.18728189220628,59.13144629701434,12.873206669251648,6.048856145792943,23.536254362155873,25.707638619620006,28.266770065917022,11.3997673516867,14.501744862349748,9.887553315238463,31.795269484296238,69.75571927103529,42.3419930205506
