PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103177459,176870,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,Unspecified,,,,20,EC50,>,20000,nM
2,103257456,9927208,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)C#C)OC,Active,,,,0.6,EC50,=,600,nM
3,103258685,16045442,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OC,Active,,,,10,EC50,=,10000,nM
4,103316007,44331212,COC1=CC2=C(C=CN=C2C=C1OC)NC3=CC(=CC=C3)Br,Active,,,,4.8,EC50,=,4800,nM
5,103667384,44532526,COC1=CC(=CC(=C1OC)OC)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F,Active,,,,1.6,EC50,=,1600,nM
6,103746650,25000333,COC1=CC2=C(C=CN=C2C=C1OC)NC3=CC=CC(=C3)C#C,Active,,,,7.5,EC50,=,7500,nM
7,440116320,155514865,COC1=C(C=C2C(=C1)C(=C(C=N2)C#N)NC3=CC=CC(=C3)C#C)OC,Unspecified,,,,10,EC50,>,10000,nM
8,440121830,155518518,COC1=CC(=CC(=C1OC)OC)NC2=NC=NC3=C2C=C(C=C3)C(F)(F)F,Unspecified,,,,10,EC50,>,10000,nM
9,461542856,52092897,COC1=CC=CC(=C1)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F,Active,,,,5.5,EC50,=,5500,nM
10,475977930,52092892,C1=CC=C(C(=C1)C#N)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F,Unspecified,,,,10,EC50,>,10000,nM
11,475979286,166625927,C1OC2=C(O1)C=C(C=C2)NC3=C4C=C(C=CC4=NC=C3)C(F)(F)F,Active,,,,1.5,EC50,=,1500,nM
12,475979990,52092879,COC1=CC=CC=C1NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F,Active,,,,2.5,EC50,=,2500,nM
13,475980160,52092904,C1=CC(=CC(=C1)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F)C(F)(F)F,Active,,,,4.8,EC50,=,4800,nM
14,475980216,166626391,COC1=CC2=NC=CC(=C2C=C1)NC3=CC=CC(=C3)C#C,Unspecified,,,,10,EC50,>,10000,nM
15,475980541,166626559,C1=CC2=NC=CC(=C2C=C1C(F)(F)F)NC3=CC(=C(C=C3)Cl)Cl,Active,,,,0.5,EC50,=,500,nM
16,475980799,166626685,CS(=O)(=O)C1=CC=C(C=C1)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F,Unspecified,,,,10,EC50,>,10000,nM
17,475981023,166626798,C1=CC2=NC=CC(=C2C=C1C(F)(F)F)NC3=CC(=C(C(=C3)F)F)F,Unspecified,,,,10,EC50,>,10000,nM
18,475981359,166626954,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3F)C#C)OC,Active,,,,10,EC50,=,10000,nM
19,475981986,166627264,C1COC2=C(O1)C=CC(=C2)NC3=C4C=C(C=CC4=NC=C3)C(F)(F)F,Unspecified,,,,10,EC50,>,10000,nM
20,475982572,52092917,C1=CC(=CC=C1NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F)Cl,Active,,,,1.9,EC50,=,1900,nM
21,475982915,52092888,COC1=CC(=C(C=C1)OC)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F,Active,,,,1.7,EC50,=,1700,nM
22,475983394,166627977,CS(=O)(=O)C1=CC=CC(=C1)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F,Unspecified,,,,10,EC50,>,10000,nM
23,475983903,53264717,COC1=CC=CC(=C1)NC2=C3C=C(C(=CC3=NC=C2)OC)OC,Active,,,,4.8,EC50,=,4800,nM
24,475983943,166628255,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C=CC(=C3)C#C)F)OC,Active,,,,7.8,EC50,=,7800,nM
25,475984301,16045589,COC1=CC2=C(C=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C,Unspecified,,,,10,EC50,>,10000,nM
26,475985101,166628851,C#CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=CC(=C3)I)F,Unspecified,,,,10,EC50,>,10000,nM
27,475986168,52092914,CC(=O)C1=CC(=CC=C1)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F,Unspecified,,,,10,EC50,>,10000,nM
28,475986625,166629629,COC1=CC2=NC=C(C(=C2C=C1)NC3=CC=CC(=C3)C#C)C#N,Unspecified,,,,10,EC50,>,10000,nM
29,475986750,166629689,C#CC1=CC(=CC=C1)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F,Active,,,,2.5,EC50,=,2500,nM
30,475986987,25096522,C1=CC(=CC(=C1)Cl)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F,Active,,,,4.8,EC50,=,4800,nM
31,475987375,166629970,COC1=CC2=C(C(=CN=C2C=C1)C#N)NC3=CC=CC(=C3)C#C,Unspecified,,,,10,EC50,>,10000,nM
32,475988300,52092912,C1=CC=C(C(=C1)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F)Br,Unspecified,,,,10,EC50,>,10000,nM
33,475988819,52092878,C1=CC(=CC=C1NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F)Br,Active,,,,6.3,EC50,=,6300,nM
34,475989287,166630934,COC1=CC2=C(C=CN=C2C=C1)NC3=CC=CC(=C3)C#C,Unspecified,,,,10,EC50,>,10000,nM
35,475989314,52092920,COC1=CC(=CC(=C1)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F)OC,Active,,,,2.1,EC50,=,2100,nM
36,475989932,166631265,C1=CC2=NC=CC(=C2C=C1C(F)(F)F)NC3=CC(=C(C=C3)Cl)F,Active,,,,1.7,EC50,=,1700,nM
37,475991260,52092909,C1=CC(=CC=C1C#N)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F,Unspecified,,,,10,EC50,>,10000,nM
38,475991696,52092877,COC1=CC=C(C=C1)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F,Active,,,,0.88,EC50,=,880,nM
39,475992889,166632714,C1=CC(=CC(=C1)F)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F,Unspecified,,,,10,EC50,>,10000,nM
40,475992921,52092880,C1=CC(=CC(=C1)Br)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F,Active,,,,2.3,EC50,=,2300,nM
41,475993460,52092894,C1=CC=C(C(=C1)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F)F,Unspecified,,,,10,EC50,>,10000,nM
42,475993692,52092896,C1=CC(=CC=C1NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F)F,Unspecified,,,,10,EC50,>,10000,nM
43,475994545,25097790,C1=CC2=NC=CC(=C2C=C1C(F)(F)F)NC3=CC(=CC(=C3)Cl)F,Active,,,,5.8,EC50,=,5800,nM
44,475994681,52092885,COC1=C(C=C(C=C1)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F)OC,Unspecified,,,,10,EC50,>,10000,nM
45,475994780,166633633,C1=CC2=NC=CC(=C2C=C1C(F)(F)F)NC3=CC(=C(C=C3)F)F,Unspecified,,,,10,EC50,>,10000,nM
46,475995940,18925056,COC1=CC2=C(C=C1)N=CN=C2NC3=CC=CC(=C3)C#C,Active,,,,8,EC50,=,8000,nM
47,475996745,52092893,COC1=CC(=C(C=C1)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F)OC,Active,,,,3.4,EC50,=,3400,nM
48,475996959,166634723,C#CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=CC(=C3)C#N)F,Active,,,,3.9,EC50,=,3900,nM
49,475998986,166635753,C1=CC(=CC(=C1)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F)C#N,Active,,,,2.2,EC50,=,2200,nM
50,475999763,166636126,C#CC1=C(C=CC(=C1)NC2=NC=NC3=C2C=C(C=C3)I)F,Unspecified,,,,10,EC50,>,10000,nM
51,476000358,53264738,CC(=O)C1=CC(=CC=C1)NC2=C3C=C(C(=CC3=NC=C2)OC)OC,Active,,,,1.3,EC50,=,1300,nM
52,476000434,52092886,C1=CC=C(C(=C1)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F)Cl,Active,,,,6.4,EC50,=,6400,nM
53,476000453,166636474,C1=CC(=CC(=C1)I)NC2=C3C=C(C=CC3=NC=C2)C(F)(F)F,Active,,,,1.4,EC50,=,1400,nM
