dirName,starters_Canonical_SMILES,target_Canonical_SMILES,helpers_Canonical_SMILES,maxAtoms,generations,pPotency_prediction,pPotency_std,IC50 (µM)
high_pPotency_molecule_pathway1_wGen1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)OP(=O)(O)OC(C)=O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",1,5.758,0.4795908575343949,1.7472285447658378
high_pPotency_molecule_pathway1_wGen3,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)OP(=O)(O)OC(C)=O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",3,5.758,0.4795908575343949,1.7472285447658378
high_pPotency_molecule_pathway1_wGen2,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(=O)OP(=O)(O)OC(C)=O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",2,5.758,0.4795908575343949,1.7472285447658378
high_pPotency_molecule_pathway2_wGen1,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)OP(=O)(O)OP(=O)(O)O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 8, 'S': 1}",1,5.693,0.4789084103097144,2.0267848606269547
high_pPotency_molecule_pathway2_wGen3,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)OP(=O)(O)OP(=O)(O)O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 8, 'S': 1}",3,5.693,0.4789084103097144,2.0267848606269547
high_pPotency_molecule_pathway2_wGen2,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(=O)OP(=O)(O)OP(=O)(O)O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 8, 'S': 1}",2,5.693,0.4789084103097144,2.0267848606269547
high_pPotency_molecule_pathway3_wGen2,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2[C@@H]1OC(C(O)O)=C[C@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",2,5.692,0.4732519205872829,2.030622230037133
high_pPotency_molecule_pathway3_wGen1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2[C@@H]1OC(C(O)O)=C[C@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",1,5.692,0.4732519205872829,2.030622230037133
high_pPotency_molecule_pathway3_wGen3,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2[C@@H]1OC(C(O)O)=C[C@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",3,5.692,0.4732519205872829,2.030622230037133
high_pPotency_molecule_pathway4_wGen3,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(Cl)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",3,5.683,0.4710670640250807,2.074770237280328
high_pPotency_molecule_pathway4_wGen1,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(Cl)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",1,5.683,0.4710670640250807,2.074770237280328
high_pPotency_molecule_pathway4_wGen2,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CC(Cl)[C@H]1O[C@@H](n2cnc3c(NC=O)ncnc32)[C@H](O)[C@@H]1O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 6, 'S': 1}",2,5.683,0.4710670640250807,2.074770237280328
high_pPotency_molecule_pathway5_wGen2,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,O=C(O)CC(=O)OP(=O)(O)O,"Br, BrBr, C#N, C=C, C=O, CO, N, N#CO, N#N, NO, O, O=C=O, O=NO, O=O, O=S(=O)(O)O, O=S(O)O, O=S=O, O=[N+]([O-])O, S, [C-]#[O+], [H][H]","{'C': 15, 'N': 8, 'O': 8, 'S': 1}",2,5.679,0.476017291303127,2.0940512699641567
