PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM
1,103563584,136036603,COC1=CC=C(C=C1)NC(=S)N2[C@@H](CC(=N2)C3=C(C=C(C=C3)O)O)C4=CC(=C(C=C4)O)OC,Unspecified,,,,Ratio IC50,>,45
2,103563587,136036604,COC1=CC=CC=C1NC(=S)N2[C@@H](CC(=N2)C3=C(C=C(C=C3)O)O)C4=CC(=C(C=C4)O)OC,Unspecified,,,,Ratio IC50,>,2
3,103563636,136036609,COC1=C(C=CC(=C1)[C@@H]2CC(=NN2C(=S)NC3=CC=CC=C3)C4=C(C=C(C=C4)O)O)O,Unspecified,,,,Ratio IC50,>,375
4,103563687,136036610,COC1=CC=CC=C1NC(=S)N2[C@@H](CC(=N2)C3=C(C=C(C=C3)O)O)C4=CC=C(C=C4)O,Unspecified,,,,Ratio IC50,>,214
5,103563688,136036611,COC1=CC=C(C=C1)NC(=S)N2[C@@H](CC(=N2)C3=C(C=C(C=C3)O)O)C4=CC=C(C=C4)O,Unspecified,,,,Ratio IC50,>,375
6,103563689,136036612,CC1=CC=C(C=C1)NC(=S)N2[C@@H](CC(=N2)C3=CC=CC=C3O)C4=CC(=C(C=C4)O)OC,Unspecified,,,,Ratio IC50,>,19
7,103563690,136036613,C1[C@H](N(N=C1C2=C(C=C(C=C2)O)O)C(=S)NC3=CC=CC=C3)C4=CC=C(C=C4)O,Unspecified,,,,Ratio IC50,>,150
8,103563744,136036614,COC1=CC=C(C=C1)NC(=S)N2[C@@H](CC(=N2)C3=CC=CC=C3O)C4=CC(=C(C=C4)O)OC,Unspecified,,,,Ratio IC50,>,250
9,103563745,136036615,CC1=CC=CC=C1NC(=S)N2[C@@H](CC(=N2)C3=CC=CC=C3O)C4=CC(=C(C=C4)O)OC,Unspecified,,,,Ratio IC50,>,6
10,103563747,136036616,COC1=CC=CC=C1NC(=S)N2[C@@H](CC(=N2)C3=CC=CC=C3O)C4=CC(=C(C=C4)O)OC,Unspecified,,,,Ratio IC50,>,9
11,103563788,136036617,COC1=C(C=CC(=C1)[C@@H]2CC(=NN2C(=S)NC3=CC=CC=C3)C4=CC=CC=C4O)O,Unspecified,,,,Ratio IC50,>,75
12,103563791,136036618,CC1=CC=CC=C1NC(=S)N2[C@@H](CC(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)O,Unspecified,,,,Ratio IC50,>,6
13,103563792,136036619,CC1=CC=C(C=C1)NC(=S)N2[C@@H](CC(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)O,Unspecified,,,,Ratio IC50,>,10
14,103563843,136036620,COC1=CC=C(C=C1)NC(=S)N2[C@@H](CC(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)O,Unspecified,,,,Ratio IC50,>,27
15,103563846,136036621,COC1=CC=CC=C1NC(=S)N2[C@@H](CC(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)O,Unspecified,,,,Ratio IC50,>,10
16,103563891,136036622,CC1=CC=CC=C1NC(=S)N2[C@@H](CC(=N2)C3=CC=CC=C3O)C4=CC=CC=C4O,Unspecified,,,,Ratio IC50,>,10
17,103563892,136036623,CC1=CC=C(C=C1)NC(=S)N2[C@@H](CC(=N2)C3=CC=CC=C3O)C4=CC=CC=C4O,Unspecified,,,,Ratio IC50,>,11
18,103563894,136036624,COC1=CC=C(C=C1)NC(=S)N2[C@@H](CC(=N2)C3=CC=CC=C3O)C4=CC=CC=C4O,Unspecified,,,,Ratio IC50,>,2
19,103563939,136036625,C1[C@H](N(N=C1C2=CC=CC=C2O)C(=S)NC3=CC=CC=C3)C4=CC=CC=C4O,Unspecified,,,,Ratio IC50,>,27
20,103563940,136036626,COC1=CC=CC=C1NC(=S)N2[C@@H](CC(=N2)C3=CC=CC=C3O)C4=CC=CC=C4O,Unspecified,,,,Ratio IC50,>,3
21,103563984,136036627,C1[C@H](N(N=C1C2=CC=CC=C2O)C(=S)NC3=CC=CC=C3)C4=CC=CO4,Unspecified,,,,Ratio IC50,>,9
22,103563986,136036628,C1[C@H](N(N=C1C2=CC=CC=C2O)C(=S)NC3=CC=CC=C3)C4=CC=CS4,Unspecified,,,,Ratio IC50,>,900
23,103564034,136036629,COC1=CC=C(C=C1)[C@@H]2CC(=NN2C(=S)NC3=CC=CC=C3)C4=CC=CC=C4O,Unspecified,,,,Ratio IC50,>,27
24,103564036,136036630,COC1=CC=CC=C1[C@@H]2CC(=NN2C(=S)NC3=CC=CC=C3)C4=CC=CC=C4O,Unspecified,,,,Ratio IC50,>,13
25,103564071,136036631,C1[C@H](N(N=C1C2=CC=CC=C2O)C(=S)NC3=CC=CC=C3)C4=CC=C(C=C4)Cl,Unspecified,,,,Ratio IC50,>,10
