PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,
1,103292843,44320386,CC(C)C[C@@H](C(=O)N)NC(=O)[C@H](CC1=CC=C(C=C1)OC(C(=O)O)C(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)OCC2C3=CC=CC=C3C4=CC=CC=C24,Unspecified,,,,800,IC50,>>,800000,nM,Outside typical range
2,103292886,44320416,CC(C)C[C@@H](C(=O)N)NC(=O)[C@H](CC1=CC=C(C=C1)C(C(=O)O)(C(=O)O)F)NC(=O)[C@H](CCC(=O)OCC2=CC=CC=C2)NC(=O)OCC3C4=CC=CC=C4C5=CC=CC=C35,Active,,,,3.1,IC50,=,3100,nM,
3,103292961,44320455,CC(C)C[C@@H](C(=O)N)NC(=O)[C@H](CC1=CC(=C(C=C1)OCC(=O)O)C(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)OCC2C3=CC=CC=C3C4=CC=CC=C24,Unspecified,,,,100,IC50,>,100000,nM,
4,103292962,44320456,CC(C)C[C@@H](C(=O)N)NC(=O)[C@H](CC1=CC=C(C=C1)OC(C(=O)O)C(=O)O)NC(=O)[C@H](CCC(=O)OCC2=CC=CC=C2)NC(=O)OCC3C4=CC=CC=C4C5=CC=CC=C35,Unspecified,,,,82,IC50,=,82000,nM,
5,103293251,44320598,CC(C)C[C@@H](C(=O)N)NC(=O)[C@H](CC1=CC=C(C=C1)C(C(=O)O)(C(=O)O)F)NC(=O)[C@H](CCC(=O)O)NC(=O)OCC2C3=CC=CC=C3C4=CC=CC=C24,Unspecified,,,,800,IC50,>>,800000,nM,Outside typical range
