reactants,products,reactionString,ruleName,rxn_str,feasibilityScore_rule1,feasibilityLabel_rule1,feasibilityScore_rule2,feasibilityLabel_rule2,feasibilityScore_rule3,feasibilityLabel_rule3,feasibilityScore_rule4,feasibilityLabel_rule4
C=C1C=C(CCCCCC)C(=O)O1,C=C1C=C(CC(CC)CC)C(=O)O1,C=C1C=C(CCCCCC)C(=O)O1 >> C=C1C=C(CC(CC)CC)C(=O)O1,rule0028_51,C=C1C=C(CCCCCC)C(=O)O1>>C=C1C=C(CC(CC)CC)C(=O)O1,0.9754716,1,0.9586329,1,0.51627314,0,0.3664956,0
C=C1C=C(CCCCCC)C(=O)O1.C=C1C=C(CCCCCC)C(=O)O1,C=C1C=C(CCC(C)CCC)C(=O)O1.C=C1C=C(CCCCC)C(=O)O1,C=C1C=C(CCCCCC)C(=O)O1.C=C1C=C(CCCCCC)C(=O)O1 >> C=C1C=C(CCC(C)CCC)C(=O)O1.C=C1C=C(CCCCC)C(=O)O1,rule0126_2,C=C1C=C(CCCCCC)C(=O)O1.C=C1C=C(CCCCCC)C(=O)O1>>C=C1C=C(CCC(C)CCC)C(=O)O1.C=C1C=C(CCCCC)C(=O)O1,0.82208806,1,0.73375463,1,0.73323965,1,0.016831541,0
CCCCCCC1=CC(=Cc2ccc(N)cc2)OC1=O.O,C=C1C=C(CCCCCC)C(=O)O1.Nc1ccc(O)cc1,CCCCCCC1=CC(=Cc2ccc(N)cc2)OC1=O.O >> C=C1C=C(CCCCCC)C(=O)O1.Nc1ccc(O)cc1,rule0085_1,CCCCCCC1=CC(=Cc2ccc(N)cc2)OC1=O.O>>C=C1C=C(CCCCCC)C(=O)O1.Nc1ccc(O)cc1,0.20455404,0,0.83532625,1,0.79269254,1,0.09030779,0
C=C1C=C(CCCCCC)C(=O)O1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O,C=C1C=C(C(O)CCCCC)C(=O)O1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,C=C1C=C(CCCCCC)C(=O)O1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O >> C=C1C=C(C(O)CCCCC)C(=O)O1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,rule0004_13,C=C1C=C(CCCCCC)C(=O)O1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=O>>C=C1C=C(C(O)CCCCC)C(=O)O1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O,0.17840597,0,0.5335275,0,0.044540033,0,0.0476144,0
C=C1C=C(CCCCCC)C(=O)O1.O,C=C1C=C(CCCCCCO)C(O)O1,C=C1C=C(CCCCCC)C(=O)O1.O >> C=C1C=C(CCCCCCO)C(O)O1,rule0070_6,C=C1C=C(CCCCCC)C(=O)O1.O>>C=C1C=C(CCCCCCO)C(O)O1,0.0039875126,0,0.32324672,0,0.0028058176,0,0.037362225,0
C=C1C=C(CCCCCC)C(=O)O1,C=C1OC(=O)C=C1CCCCCC,C=C1C=C(CCCCCC)C(=O)O1 >> C=C1OC(=O)C=C1CCCCCC,rule0028_51,C=C1C=C(CCCCCC)C(=O)O1>>C=C1OC(=O)C=C1CCCCCC,0.97426015,1,0.6189067,1,0.6360599,1,0.15960124,0
C=C1C=C(CCCCCC)C(=O)O1.C=C1C=C(CCCCCC)C(=O)O1,C=C1C=C(CCCCC)C(=O)O1.C=C1C=C(CCCCCCC)C(=O)O1,C=C1C=C(CCCCCC)C(=O)O1.C=C1C=C(CCCCCC)C(=O)O1 >> C=C1C=C(CCCCC)C(=O)O1.C=C1C=C(CCCCCCC)C(=O)O1,rule0126_2,C=C1C=C(CCCCCC)C(=O)O1.C=C1C=C(CCCCCC)C(=O)O1>>C=C1C=C(CCCCC)C(=O)O1.C=C1C=C(CCCCCCC)C(=O)O1,0.94356257,1,0.788942,1,0.51766086,0,0.5415859,0
C=C1C=C(CCCCCC)C(=O)O1,C=C1OC(=O)C(CCCCC)=C1C,C=C1C=C(CCCCCC)C(=O)O1 >> C=C1OC(=O)C(CCCCC)=C1C,rule0028_51,C=C1C=C(CCCCCC)C(=O)O1>>C=C1OC(=O)C(CCCCC)=C1C,0.9873707,1,0.90351593,1,0.8100207,1,0.5081894,0
Nc1ccc(O)cc1.Nc1ccc(O)cc1,Nc1ccc(Nc2ccc(O)cc2)cc1.O,Nc1ccc(O)cc1.Nc1ccc(O)cc1 >> Nc1ccc(Nc2ccc(O)cc2)cc1.O,rule0012_253,Nc1ccc(O)cc1.Nc1ccc(O)cc1>>Nc1ccc(Nc2ccc(O)cc2)cc1.O,0.081378415,0,0.018929152,0,0.19218911,0,0.4648775,0
C=C1C=C(CCCCCC)C(=O)O1,C=C1C=C(C(C)CCCC)C(=O)O1,C=C1C=C(CCCCCC)C(=O)O1 >> C=C1C=C(C(C)CCCC)C(=O)O1,rule0028_51,C=C1C=C(CCCCCC)C(=O)O1>>C=C1C=C(C(C)CCCC)C(=O)O1,0.70583326,1,0.5684346,1,0.57531285,0,0.011677227,0
