PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,
1,103619997,37542,C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,Active,,,,2.5,EC50,=,2500,nM
2,494396040,159001020,CC1=CC2=C(CCC3=C(C2N4CN(C(=O)C5=C(C(=O)C(=CN54)C(=O)O)O)C(C)C)C=C(C=C3)C)C=C1,Active,,,,0.176,EC50,=,176,nM
3,494397421,160749691,CCN(CC)CCN1CN(N2C=C(C(=O)C(=C2C1=O)O)C(=O)O)C3C4=CC=CC=C4CCC5=CC=CC=C35,Unspecified,,,,1,EC50,>,1000,nM
4,494400101,158152427,C1CCC(CC1)CN2CN(N3C=C(C(=O)C(=C3C2=O)O)C(=O)O)C4C5=CC=CC=C5CCC6=CC=CC=C46,Active,,,,0.02,EC50,=,20,nM
5,494401672,156349734,C1CC1CN2CN(N3C=C(C(=O)C(=C3C2=O)O)C(=O)O)C4C5=CC=CC=C5CCC6=CC=CC=C46,Active,,,,0.0058,EC50,=,5.8,nM
6,494402045,156349345,CN1CN(N2C=C(C(=O)C(=C2C1=O)O)C(=O)O)C3C4=CC=CC=C4CCC5=CC=CC=C35,Active,,,,0.0092,EC50,=,9.2,nM
7,494408132,160995167,CC1=CC2=C(C=C1)C(C3=C(CC2)C=C(C=C3)C)N4CN(C(=O)C5=C(C(=O)C(=CN54)C(=O)O)O)C(C)C,Active,,,,0.034,EC50,=,34,nM
8,494408136,171350573,C1CC1CN2CN(N3C=C(C(=O)C(=C3C2=O)O)C4=NOC(=O)N4)C5C6=CC=CC=C6CCC7=CC=CC=C57,Active,,,,0.189,EC50,=,189,nM
9,494408653,156349737,COCCN1CN(N2C=C(C(=O)C(=C2C1=O)O)C(=O)O)C3C4=CC=CC=C4CCC5=CC=CC=C35,Active,,,,0.005,EC50,=,5,nM
10,494410629,171352089,COC(=O)C1=CN2C(=C(C1=O)O)C(=O)N(CN2C3C4=CC=CC=C4CCC5=CC=CC=C35)CC6CC6,Active,,,,0.271,EC50,=,271,nM
11,494411434,158104691,CC(C)N1CN(N2C=C(C(=O)C(=C2C1=O)O)C(=O)O)CC3=CC=CC=C3C4=CC=CC=C4,Active,,,,0.437,EC50,=,437,nM
12,494412355,70369037,CC(C)N1CN(N2C=C(C(=O)C(=C2C1=O)O)C(=O)O)C3C4=CC=CC=C4CCC5=CC=CC=C35,Active,,,,0.0024,EC50,=,2.4,nM
13,494412503,158138244,C1CC1N2CN(N3C=C(C(=O)C(=C3C2=O)O)C(=O)O)C4C5=CC=CC=C5CCC6=CC=CC=C46,Active,,,,0.0134,EC50,=,13.4,nM
14,494413548,156349463,CC1=C2CCC3=C(C=CC=C3C(C2=CC=C1)N4CN(C(=O)C5=C(C(=O)C(=CN54)C(=O)O)O)C(C)C)C,Active,,,,0.0031,EC50,=,3.1,nM
15,494414915,160706427,C1CCC(C1)CN2CN(N3C=C(C(=O)C(=C3C2=O)O)C(=O)O)C4C5=CC=CC=C5CCC6=CC=CC=C46,Active,,,,0.025,EC50,=,25,nM
16,494416117,171355053,C1CC1CN2CN(N3C=C(C(=O)C(=C3C2=O)O)C(=O)NC4=NNN=N4)C5C6=CC=CC=C6CCC7=CC=CC=C57,Active,,,,0.404,EC50,=,404,nM
17,494416962,159722627,CCN1CN(N2C=C(C(=O)C(=C2C1=O)O)C(=O)O)C3C4=CC=CC=C4CCC5=CC=CC=C35,Active,,,,0.0033,EC50,=,3.3,nM
18,494418951,70369038,CC(C)N1CN(N2C=C(C(=O)C(=C2C1=O)O)C(=O)O)C3C4=CC=CC=C4CSC5=CC=CC=C35,Active,,,,0.0036,EC50,=,3.6,nM
19,494420819,171357653,C1CC1CN2CN(N3C=C(C(=O)C(=C3C2=O)O)C(=O)NO)C4C5=CC=CC=C5CCC6=CC=CC=C46,Active,,,,0.12,EC50,=,120,nM
20,494423432,156349495,CC(C)N1CN(N2C=C(C(=O)C(=C2C1=O)O)C(=O)O)CC3=CC=CC=C3,Unspecified,,,,1,EC50,>,1000,nM
21,494423764,171358367,C1CC1CN2CN(N3C=C(C(=O)C(=C3C2=O)O)C4=NNN=N4)C5C6=CC=CC=C6CCC7=CC=CC=C57,Unspecified,,,,1,EC50,>,1000,nM
