PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Standard Units
RESULT_TYPE,,,,,,,,STRING,STRING,FLOAT,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
1,404704243,145984899,C#CCNC(=O)[C@@H](CC1=CC(=C(C=C1)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O,Unspecified,,,,Inhibition,=,17,%
2,504805373,168475856,CCCCCCCCCCCCNC(=O)[C@@H](CC1=CC(=C(C=C1)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O,Unspecified,,,,Inhibition,=,17,%
3,504808806,172449419,CCC1=CC(=CC=C1)NC(=O)[C@@H](CC2=CC(=C(C=C2)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O,Unspecified,,,,Inhibition,=,24,%
4,504820011,172457186,CCCCCCNC(=O)[C@@H](CC1=CC(=C(C=C1)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O,Unspecified,,,,Inhibition,=,21,%
5,504829677,172463869,C1CCN(CC1)C(=O)[C@@H](CC2=CC(=C(C=C2)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O,Unspecified,,,,Inhibition,=,24,%
6,504834592,172467363,C1=CC(=C(C=C1C[C@H](C(=O)NCCCCCCCl)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Unspecified,,,,Inhibition,=,14,%
