PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,CPE-Activity_Score,CPE-Curve_Description,CPE-Fit_LogAC50,CPE-Fit_HillSlope,CPE-Fit_R2,CPE-Fit_InfiniteActivity,CPE-Fit_ZeroActivity,CPE-Fit_CurveClass,CPE-Excluded_Points,CPE-Max_Response,CPE-Activity at 0.0009144947 uM,CPE-Activity at 0.00155 uM,CPE-Activity at 0.00264 uM,CPE-Activity at 0.00460 uM,CPE-Activity at 0.00648 uM,CPE-Activity at 0.00912 uM,CPE-Activity at 0.014 uM,CPE-Activity at 0.027 uM,CPE-Activity at 0.041 uM,CPE-Activity at 0.057 uM,CPE-Activity at 0.082 uM,CPE-Activity at 0.124 uM,CPE-Activity at 0.189 uM,CPE-Activity at 0.247 uM,CPE-Activity at 0.423 uM,CPE-Activity at 0.739 uM,CPE-Activity at 1.117 uM,CPE-Activity at 1.700 uM,CPE-Activity at 2.222 uM,CPE-Activity at 3.666 uM,CPE-Activity at 6.643 uM,CPE-Activity at 10.000 uM,CPE-Activity at 13.36 uM,CPE-Activity at 20.00 uM,CPE-Activity at 40.00 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,Activity score.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,NONE,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,0.000914495,0.00155464,0.00263993,0.00459575,0.0064826,0.00912159,0.0137872,0.0269967,0.0413617,0.0569821,0.0820943,0.124085,0.188912,0.246899,0.423153,0.738849,1.11677,1.70021,2.22209,3.66561,6.6433,10,13.3629,20,40,
1,384568585,10173277,CC1=CC(=CC=C1)/C=N/NC2=CC(=NC(=N2)OCCC3=CC=CC=N3)N4CCOCC4,Active,96,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00263093-04/250023605,,Activator,0.0142,98.2421,,96,Complete curve; high efficacy,-7.8466,3.132,0.9541,95.2162,-3.0258,1.1,0 0 0 0 0 0 0 0,85.2947,-2.5748,,-3.7715,,,12.5476,,78.5494,,,101.034,,80.5802,,,114.996,,85.2947,,,,,,,,QC'd by MedChem Express
2,384569279,70945511,CC[C@@H](C(=O)C(=O)NC1CC1)NC(=O)[C@H](CS(=O)(=O)CC2CC2)N[C@@H](C3=CC=C(C=C3)F)C(F)(F)F,Active,93,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00485951-02/250023181,,Activator,0.1122,102.284,,93,Complete curve; high efficacy,-6.95,4.095,0.9977,106.284,4,1.1,0 0 0 0 0 0 0 0,105.419,,,,,,0.9206,,7.7297,,,26.559,,,99.861,,109.345,,,105.454,,106.427,,,105.419,,QC'd by MedChem Express
3,406861859,5311161,C[C@@H](C(=O)CF)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)OCC2=CC=CC=C2,Active,93,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00386330-03/250023003,,Activator,0.1259,95.3044,,93,Complete curve; high efficacy,-6.9,2.5334,0.9946,110.804,15.5,1.1,0 0 0 0 0 0 0 0,113.734,,,,,,12.4953,,20.3752,,,40.1126,,,98.7992,,106.341,,,113.996,,106.604,,,113.734,,QC'd by DC Chemicals
4,363680160,44224135,CC(C)(C)C1=NN(C(=C1)C(=O)N[C@@H](CC2=CC(=CC=C2)Cl)C(=O)NCC#N)C,Active,92,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00386232-01/250023012,,Activator,0.2239,115.028,,92,Complete curve; high efficacy,-6.65,1.331,0.9963,113.727,-1.3011,1.1,0 0 0 0 0 0 0 0,114.184,,,,,,-1.5009,,7.1295,,,25.4784,,,55.272,,98.9118,,,106.304,,112.007,,,114.184,,QC'd by Selleck
5,384568753,50909779,C1=CC=C(C=C1)C[C@@H](C(=O)NCC2=CC=CC=C2)NC(=O)[C@@H]3[C@H](O3)C(=O)NCCC4=CC=C(C=C4)O,Active,92,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00345807-02/250023405,,Activator,0.1413,97.627,,92,Complete curve; high efficacy,-6.85,2.1876,0.9988,100.627,3,1.1,0 0 0 0 0 0 0 0,102.263,,,,,,3.1852,,6.404,,,24.7779,,,78.0553,,99.6815,,,100.117,,97.6027,,,102.263,,QC'd by EMD Chemicals
6,406861831,135510930,C1COCCN1C2=NC(=NC(=N2)N/N=C/C3=CNC4=CC=CC=C43)NC5=CC=CC=C5,Active,92,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/MLS000543798-03/250023597,,Activator,0.0898,96.7422,,92,Complete curve; high efficacy,-7.0466,4.9549,0.9516,92.6034,-4.1387,1.1,0 0 0 0 0 0 0 0,69.8096,-5.2221,,-7.6156,,,0.3626,,-4.7144,,,23.4633,,101.215,,,105.712,,69.8096,,,,,,,,QC'd by Specs
7,406861847,73364,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1,Active,90,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00163432-05/250022985,,Activator,0.3548,107.395,,90,Complete curve; high efficacy,-6.45,1.9282,0.9952,106.608,-0.7871,1.1,0 0 0 0 0 0 0 0,101.276,,,,,,-2.7392,,3.6023,,,5.2908,,,33.546,,83.4522,,,109.006,,107.917,,,101.276,,QC'd by Cayman
8,363677839,46223724,C1CC2=C(C=CC(=C2)O)N(C1)C3=NC(=NC=C3)NC4=CC=C(C=C4)S(=O)(=O)NCC5CC5,Active,87,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00370759-04/250023019,,Activator,0.7943,82.4562,,87,Complete curve; high efficacy,-6.1,3.5117,0.9471,83.9656,1.5094,1.1,0 0 0 0 0 0 0 0,93.0582,,,,,,2.5141,,3.7148,,,-0.8255,,,4.728,,33.6585,,,93.9212,,64.6904,,,93.0582,,QC'd by Bio Vision
9,363681304,11755771,CC(C)C[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)CCl)NC(=O)CNC(=O)OCC2=CC=CC=C2,Active,87,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00485375-01/250023443,,Activator,1,93.7953,,87,Complete curve; high efficacy,-6,2.1876,0.9692,93.7237,-0.0716,1.1,0 0 0 0 0 0 0 0,84.0938,,,,,,-1.0715,,-2.143,,,9.1631,,,-1.6257,,32.5143,,,75.2633,,106.263,,,84.0938,,QC'd by SIGMA
10,384568526,16747388,CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=C4C=NN(C4=NC(=N3)C5=CN=CC=C5)C,Active,87,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00249391-11/250023565,,Activator,1.4125,105.873,,87,Complete curve; high efficacy,-5.85,1.1341,0.9873,106.373,0.5,1.1,0 0 0 0 0 0 0 0,99.6005,,,,,,1.2935,,2.7012,,,1.0272,,,11.6797,,41.7348,,,59.0831,,96.3667,,,99.6005,,QC'd by MedChem Express
11,384568717,704473,CC1=CC(=CC=C1)NC2=NC(=CS2)C3=CC=NC=C3,Active,87,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00344081-06/250023695,,Activator,0.7943,80.0373,,87,Complete curve; high efficacy,-6.1,3.5117,0.9187,81.8627,1.8254,1.1,0 0 0 0 0 0 0 0,58.7587,,,,,,0.2203,,-0.4774,,,-1.3955,,,11.7885,,32.6845,,,91.3331,,94.7484,,,58.7587,,QC'd by SIGMA
12,384569355,67983918,CC(C)(CNC1=NC=C(C(=N1)CC2CC2)C3=NC(=NC=C3)NC4=CC=NC=C4)O,Active,87,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00507892-01/250023314,,Activator,1.122,93.6654,,87,Complete curve; high efficacy,-5.95,4.095,0.9916,94.5984,0.9329,1.1,0 0 0 0 0 0 0 0,90.0857,,,,,,-2.9725,,-1.4338,,,0.8743,,,7.4139,,14.3382,,,87.4628,,101.067,,,90.0857,,QC'd by Selleck
13,384569409,6410104,CC1=C2C(=CC=C1)C3=C(N2)N=C(N=N3)N/N=C(\C)/C4=CC=CC=N4,Active,87,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00510111-01/250023557,,Activator,0.7079,81.4205,,87,Complete curve; high efficacy,-6.15,2.2526,0.9942,81.3551,-0.0653,1.1,0 0 0 0 0 0 0 0,77.3825,,,,,,-3.8045,,1.1413,,,0.1522,,,9.5111,,42.9523,,,80.3881,,80.5783,,,77.3825,,QC'd by Glixx
14,406861842,10206,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)C[C@@H]7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,Active,87,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00161621-13/250023338,,Activator,1,93.1092,,87,Complete curve; high efficacy,-6,4.9549,0.9963,92.0242,-1.085,1.1,0 0 0 0 0 0 0 1,-14.8627,,,,,,3.0425,,-5.0708,,,-1.8535,,,-0.0699,,14.8977,,,92.3938,,90.5053,,,-14.8627,,QC'd by APExBIO
15,406861843,443118,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C,Active,87,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00161662-08/250023496,,Activator,1.9953,111.626,,87,Complete curve; high efficacy,-5.7,1.6266,0.9855,112.03,0.4044,1.1,0 0 0 0 0 0 0 0,103.732,,,,,,-2.6654,,7.0404,,,-4.2463,,,10.239,,12.3713,,,64.9816,,99.9081,,,103.732,,QC'd by APExBIO
16,363678065,10201696,CCCN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3(CCCCC3)C(=O)NCC#N,Active,86,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00371151-06/250023016,,Activator,1,78.0928,,86,Complete curve; high efficacy,-6,4.9549,0.9773,81.4811,3.3884,1.1,0 0 0 0 0 0 0 0,89.3433,,,,,,-2.1764,,5.2908,,,0,,,11.4447,,15.8349,,,80.6754,,73.0206,,,89.3433,,QC'd by Glixx
17,363679628,110062427,CC(=O)O[C@@H]1C[C@@H]([C@@]23CO[C@@H]([C@@]1(C2C[C@H]([C@@]4(C3C(=O)[C@@H]([C@@]5([C@]46[C@H](O6)C[C@H]5C7=COC=C7)C)OC(=O)C)C)O)C)O)O,Active,86,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00385268-01/250023648,,Activator,1.0608,87.3565,,86,Complete curve; high efficacy,-5.9744,2.3332,0.9837,86.7773,-0.5793,1.1,0 0 0 0 0 0 0 0,80.4227,,,-2.1494,,,-1.1105,,1.4687,,,-1.3613,,,7.1288,,20.0967,,,81.2825,,80.4227,,,,,QC'd by Analyticon
18,384569197,11285002,COCCN1CCN(CC1)CC2=CC=C(C=C2)C3=NNC4=C3C(=O)C5=C4C=CC=C5NC(=O)NN6CCOCC6,Active,86,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00390582-04/250023356,,Activator,2.8184,110.759,,86,Complete curve; high efficacy,-5.55,1.5095,0.9878,112.253,1.4941,1.1,0 0 0 0 0 0 0 0,104.519,,,,,,6.5474,,0.6086,,,-3.3383,,,2.9694,,20.7488,,,41.4054,,93.637,,,104.519,,QC'd by MedChem Express
19,384569285,74222277,CN1C2=C(C=C(C=C2)C3=CN=C(C(=C3N4CCC5(CCNC5=O)CC4)Cl)N)C=N1,Active,86,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00489873-03/250023160,,Activator,2.8184,107.498,,86,Complete curve; high efficacy,-5.55,3.132,0.9953,107.323,-0.1753,1.1,0 0 0 0 0 0 0 0,107.754,,,,,,-3.5141,,0,,,5.0038,,,-3.8961,,4.8128,,,31.5126,,100.535,,,107.754,,QC'd by MedChem Express
20,384568966,24800108,CC1(CCCCCCC1)N2CCC(CC2)N3C4=CC=CC=C4N=C3[C@@H]5CCCNC5,Active,85,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00346896-03/250023640,,Activator,2.8184,90.8739,,85,Complete curve; high efficacy,-5.55,3.5117,0.9975,92.8739,2,1.1,0 0 0 0 0 0 0 0,92.1368,,,,,,5.5526,,3.2241,,,0.609,,,0.0716,,2.1494,,,27.5479,,90.4532,,,92.1368,,QC'd by Cayman
21,406861854,11539025,CC(C)(C)CN1C2=C(C=CC(=N2)C3=C(N=C(N3)C(C)(C)C)C4=CC=C(C=C4)F)N=C1N,Active,85,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00346537-03/250023072,,Activator,1.5849,87.9122,,85,Complete curve; high efficacy,-5.8,4.5045,0.9983,82.2149,-5.6973,1.1,0 0 0 0 0 0 0 1,27.6559,,,,,,-5.1879,,-2.9372,,,-5.6838,,,-7.2478,,-4.4249,,,64.9628,,82.9678,,,27.6559,,QC'd by Axon Medchem
22,406861855,2519269,CC1=CN=C(S1)NC(=O)C2=C(C=CC(=C2)S(=O)(=O)N(C)C)N3CCCC3,Active,85,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00351072-01/250023279,,Activator,2.8184,92.3513,,85,Complete curve; high efficacy,-5.55,3.9295,0.9941,90.9617,-1.3896,1.1,0 0 0 0 0 0 0 0,89.6077,,,,,,-4.908,,-1.636,,,-3.9041,,,1.0411,,4.499,,,21.6769,,90.2398,,,89.6077,,QC'd by NCGCChem
23,170465140,37392,CCCCN(CCCC)CCC(C1=C2C=CC(=CC2=C3C=C(C=C(C3=C1)Cl)Cl)C(F)(F)F)O.Cl,Active,84,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00179250-03/250023193,,Activator,3.5481,84.2615,,84,Complete curve; high efficacy,-5.45,4.9549,0.9948,85.8236,1.562,1.1,0 0 0 0 0 0 0 0,85.6522,,,,,,7.695,,0.0869,,,-0.7817,,,2.5882,,-0.33,,,7.7645,,82.3172,,,85.6522,,QC'd by Prestwick Chemical; Inc.
24,363677951,9826520,COC1=C(C=CC(=C1)N2C=NC3=C(C2=O)SC(=C3)C4=CC=C(C=C4)Cl)OCCN5CCCC5,Active,84,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00370950-02/250023325,,Activator,3.5481,90.0963,,84,Complete curve; high efficacy,-5.45,4.9549,0.9685,89.04,-1.0563,1.1,0 0 0 0 0 0 0 0,76.307,,,,,,-1.7136,,-1.2939,,,1.7835,,,-0.6295,,0.1049,,,3.9867,,98.9334,,,76.307,,QC'd by Axon Medchem
25,363679613,75368811,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H](CO[C@H]([C@@H]2O)O[C@H]3[C@@H](O[C@H]([C@@H]([C@@H]3O)O)O[C@@H]4[C@H]([C@H]([C@H](O[C@H]4OC(=O)[C@]56CCC(C[C@H]5C7=CCC8[C@]([C@@]7(C[C@H]6O)C)(CCC9[C@@]8(C[C@@H]([C@@H]([C@@]9(C)CO)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)O)C)C)(C)C)C)O)O)C)O)O)O)O,Active,67,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00385241-01/250023125,,Activator,0.6025,77.1404,,67,Complete curve; partial efficacy,-6.22,4.9549,0.9444,78.5011,1.3608,1.2,0 0 0 0 0 0 0 0,66.2976,,-1.7827,,-0.2439,,,9.589,,5.836,,,0.6193,,,1.0696,,89.0036,,,66.2976,,,,,,QC'd by Analyticon
26,384568733,105000,CC(C)[C@H]1C(=O)N[C@@H](CC2=CNC3=C2C(=CC=C3)N1C)CO,Active,65,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00345085-02/250023525,,Activator,1.3873,70.3709,,65,Complete curve; partial efficacy,-5.8578,3.0654,0.9635,73.7147,3.3438,1.2,0 0 0 0 0 0 0 0,68.706,,,,-3.8802,,,6.9843,,4.3133,,,13.1204,,,1.2814,,23.3712,,,75.2752,,68.706,,,,QC'd by SIGMA
27,363676750,23955811,CCCC(=O)O[C@@H]1C[C@@](C2C[C@@H](C(=C2[C@@H]3[C@@]1([C@@](C(=O)O3)(C)O)O)C)OC(=O)/C(=C/C)/C)(C)OC(=O)C,Active,64,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00169033-03/250022970,,Activator,2.1988,68.0469,,64,Complete curve; partial efficacy,-5.6578,4.095,0.9961,66.7106,-1.3363,1.2,0 0 0 0 0 0 0 0,65.4025,,,,1.7889,,,-0.4293,,-3.6136,,,-1.8605,,,-3.1127,,2.0751,,,55.1699,,65.4025,,,,QC'd by Analyticon
28,363677235,11282283,C1CN(CCN1C2=NC=NC3=C2OC4=CC=CC=C43)C(=S)NCC5=CC6=C(C=C5)OCO6,Active,64,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00263158-07/250023200,,Activator,3.5481,73.3442,,64,Complete curve; partial efficacy,-5.45,3.5722,0.9864,76.2384,2.8942,1.2,0 0 0 0 0 0 0 0,75.2649,,,,,,-2.5882,,3.5609,,,3.283,,,3.9083,,10.9953,,,14.1567,,69.9496,,,75.2649,,QC'd by MedChem Express
29,384569163,44156921,CC(C)(C)CNCCN1C2=C(C(=NC=C2)N)N=C1SC3=CC4=C(C=C3N(C)C)OCO4,Active,64,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00387824-01/250023152,,Activator,2.2387,74.783,,64,Complete curve; partial efficacy,-5.65,1.8265,0.9736,76.2078,1.4248,1.2,0 0 0 0 0 0 0 0,74.7135,,,,,,8.6707,,5.806,,,-2.9794,,,0.2292,,2.1772,,,43.2391,,66.1192,,,74.7135,,QC'd by ChemieTek
30,377020287,71461003,CC1=NN=C(S1)SC2=NC=NC3=CC(=C(C=C32)OC)OC,Active,63,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00378568-07/250023184,,Activator,3.9811,69.1623,,63,Complete curve; partial efficacy,-5.4,4.9549,0.9888,71.6623,2.5,1.2,0 0 0 0 0 0 0 0,68.2474,,,,,,5.0895,,1.8933,,,3.3524,,,2.2408,,4.9852,,,0.6427,,71.0266,,,68.2474,,QC'd by SIGMA
31,384569124,59472121,CC(C)S(=O)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C3=CC(=NO3)C4=CC=C(C=C4)CNC)N,Active,48,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00386313-08/250023394,,Activator,1.7783,124.708,,48,Partial curve; high efficacy,-5.75,0.9,0.9418,127.587,2.8785,2.1,0 0 0 0 0 0 0 1,-10.7628,,,,,,10.2934,,-5.9346,,,18.4074,,,14.3839,,51.5004,,,62.2967,,106.857,,,-10.7628,,QC'd by ActiveBioChem
32,363677835,4695397,CC(C)C1=CC=C(C=C1)NC(=O)C(C2=CC=CC=C2)N(C)C(=O)CC3=CNC4=CC=CC=C43,Active,46,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00370751-02/250022978,,Activator,3.5481,126.746,,46,Partial curve; high efficacy,-5.45,4.5045,0.9968,127.665,0.9186,2.1,0 0 0 0 0 0 0 1,-1.8247,,,,,,-4.6512,,1.5385,,,1.9678,,,2.3971,,2.8265,,,15.2415,,120.894,,,-1.8247,,QC'd by SIGMA
33,377020288,9549298,C1CCN(C1)C2CCN(CC2)C(=O)C3=CC=C(C=C3)NC4=NC=CC(=N4)C5=CC6=CC=CC=C6S5,Active,46,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00167767-12/250023465,,Activator,3.5481,114.817,,46,Partial curve; high efficacy,-5.45,2.3031,0.9849,115.942,1.125,2.1,0 0 0 0 0 0 0 1,-15.0919,,,,,,-5.3125,,-1.4154,,,0.9375,,,4.6507,,11.011,,,27.8125,,94.7243,,,-15.0919,,QC'd by MedChem Express
34,384568655,5278396,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4,Active,45,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00263190-11/250023415,,Activator,3.5481,94.0751,,45,Partial curve; high efficacy,-5.45,3.6772,0.9644,97.7583,3.6832,2.1,0 0 0 0 0 0 0 1,28.399,,,,,,8.8852,,-2.6823,,,4.9958,,,-5.264,,12.6739,,,16.7309,,89.5222,,,28.399,,QC'd by MedChem Express
35,406861837,64143,CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@@H](CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C)O,Active,45,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00090782-17/250023470,,Activator,3.1623,97.1677,,45,Partial curve; high efficacy,-5.5,3.5117,0.9918,100.969,3.8015,2.1,0 0 0 0 0 0 0 1,3.2537,,,,,,5.5699,,9.6507,,,-0.1654,,,2.4449,,3.6213,,,24.7978,,94.5404,,,3.2537,,QC'd by APExBIO
36,124896684,44605025,CN1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OC)N4CCCCC4,Active,44,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00185859-01/250023135,,Activator,3.5481,86.6037,,44,Partial curve; high efficacy,-5.45,4.045,0.989,88.5233,1.9196,2.1,0 0 0 0 0 0 0 1,17.8457,,,,,,-0.9946,,4.8602,,,6.1362,,,-2.9837,,2.0079,,,14.2053,,82.2481,,,17.8457,,QC'd by UNC
37,363677623,14656910,C[C@@H]1C[C@@H]2[C@@H]([C@@H](C(=O)O2)C)[C@@H]([C@]3([C@H]1C=CC3=O)C)OC(=O)C(C)C,Active,44,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00347562-02/250023600,,Activator,7.9433,122.07,,44,Partial curve; high efficacy,-5.1,2.1211,0.9819,124.371,2.301,2.1,0 0 0 0 0 0 0 0,94.651,,,,,4.3155,,,5.3672,,-3.0825,,,5.3309,,-2.3935,,,12.7652,,27.6337,,,94.651,,,QC'd by Analyticon
38,363679204,1715,COC1=CC2=C(C=C1)SCCN(C2)C(=O)CCN3CCC(CC3)CC4=CC=CC=C4,Active,44,http://assay.nih.gov/htsws/rest/display/SARS-CoV-2-CPE-VeroE6-cherrpicks-SRI-p5-conf/NCGC00384450-03/250023213,,Activator,4.9225,90.5654,,44,Partial curve; high efficacy,-5.3078,3.5117,0.9792,93.5654,3,2.1,0 0 0 0 0 0 0 0,97.464,,,,0.608,,,4.8463,,2.9356,,,3.4914,,,5.1242,,3.2135,,,16.1716,,97.464,,,,QC'd by Glixx
